Mean time,Standard deviation
0.00529559,0.012693

Raw measurements

Timestamp,Measurement
1123,0.00163207
1124,0.0015621
1125,0.0537567
1126,0.00389804
1127,0.00376952
1128,0.00242302
1129,0.00225426
1130,0.00161105
1131,0.00172065
1132,0.00189181
1133,0.0519237
1134,0.00196328
1135,0.00162666
1136,0.00162246
1137,0.0016654
1138,0.0528828
1139,0.00433946
1140,0.0538356
1141,0.0044878
1142,0.00348034
1143,0.0034434
1144,0.00369264
1145,0.0032329
1146,0.00212544
1147,0.00219571
1148,0.00167651
1149,0.0016639
1150,0.00174617
1151,0.00171615
1152,0.00155699
1153,0.00157711
1154,0.00162396
1155,0.00172395
1156,0.00171945
1157,0.00169362
1158,0.00161735
1159,0.00163327
1160,0.00161945
1161,0.00162396
1162,0.00170924
1163,0.00195067
1164,0.0530744
1165,0.00482022
1166,0.0038575
1167,0.00272571
1168,0.00237167
1169,0.00165068
1170,0.00216207
1171,0.0517297
1172,0.00400164
1173,0.0037503
1174,0.00228009
1175,0.00225847
1176,0.00195578
1177,0.00164528
1178,0.104713
1179,0.00326023
1180,0.00257377
1181,0.00237708
1182,0.00253984
1183,0.00238188
1184,0.00257287
1185,0.00214856
1186,0.00192665
1187,0.104169
1188,0.00461603
1189,0.00327554
1190,0.00307825
1191,0.103913
1192,0.00391846
1193,0.00329446
1194,0.00330677
1195,0.00307615
1196,0.00335031
1197,0.00317164
1198,0.00328245
1199,0.00203235
1200,0.00210982
1201,0.00207409
1202,0.00199872
1203,0.00200172
1204,0.002087
1205,0.00207529
1206,0.00209901
1207,0.00201403
1208,0.00207499
1209,0.00202124
1210,0.00176449
1211,0.00154829
1212,0.00160864
1213,0.00171254
1214,0.0017705
1215,0.00171194
1216,0.00162366
1217,0.00168732
1218,0.00168251
1219,0.00160534
1220,0.00164378
1221,0.00161855
1222,0.00167741
1223,0.00172245
1224,0.0017723
1225,0.00175098
1226,0.00163387
1227,0.0016663
1228,0.052954
1229,0.00421514
1230,0.00350286
1231,0.00244014
1232,0.00235396
1233,0.00158822
1234,0.00160864
1235,0.00152937
1236,0.00153597
1237,0.00159693
1238,0.0016702
1239,0.00168852
1240,0.0524309
1241,0.00272391
1242,0.00238999
1243,0.00173056
1244,0.001672
1245,0.00159453
1246,0.00179782
1247,0.0539461
1248,0.00280889
1249,0.053369
1250,0.00414788
1251,0.00363499
1252,0.00195788
1253,0.00196478
1254,0.00200803
1255,0.00189242
1256,0.00189211
1257,0.00169152
1258,0.00172035
1259,0.00168281
1260,0.00153027
1261,0.0015588
1262,0.0015657
1263,0.00149363
1264,0.00170173
1265,0.00175819
1266,0.00162516
1267,0.00163237
1268,0.00172065
1269,0.00167411
1270,0.00171164
1271,0.00171885
1272,0.00166149
1273,0.00162306
1274,0.00159993
1275,0.00177771
1276,0.00153387
1277,0.00156961
1278,0.00157771
1279,0.001872
1280,0.00165789
1281,0.00182215
1282,0.00159153
1283,0.00165459
1284,0.00176239
1285,0.00180023
1286,0.00165459
1287,0.00164768
1288,0.0536945
1289,0.00465927
1290,0.0199601
1291,0.00214556
1292,0.00210412
1293,0.00168852
1294,0.0531357
1295,0.00429262
1296,0.00403737
1297,0.00246236
1298,0.00245275
1299,0.00258518
1300,0.00164858
1301,0.00170353
1302,0.00172065
1303,0.00183056
1304,0.00158282
1305,0.00160264
1306,0.00160714
1307,0.00161495
1308,0.00163597
1309,0.00162576
1310,0.00160114
1311,0.0016672
1312,0.00152096
1313,0.00153327
1314,0.00158612
1315,0.0017678
1316,0.00164318
1317,0.00160414
1318,0.0016723
1319,0.00159063
1320,0.00168311
1321,0.00185037
1322,0.00171795
1323,0.00162005
1324,0.00165549
1325,0.00162186
1326,0.00161885
1327,0.00167681
1328,0.0016696
1329,0.00179812
1330,0.00164828
1331,0.00167531
1332,0.00158522
1333,0.00165279
1334,0.0519712
1335,0.00162756
1336,0.00160984
1337,0.00154829
1338,0.00159213
1339,0.00169873
1340,0.00173386
1341,0.00162035
1342,0.00168702
1343,0.0016708
1344,0.00158642
1345,0.0016633
1346,0.00273052
1347,0.00160144
1348,0.00165188
1349,0.00164828
1350,0.00153327
1351,0.00159603
1352,0.00164918
1353,0.0528672
1354,0.00446558
1355,0.00377552
1356,0.00230351
1357,0.00183866
1358,0.00170023
1359,0.00172816
1360,0.00165098
1361,0.00174137
1362,0.00173777
1363,0.00171104
1364,0.00178221
1365,0.00171765
1366,0.00170323
1367,0.00177951
1368,0.001669
1369,0.00162486
1370,0.00179032
1371,0.00180143
1372,0.00163957
1373,0.00174167
1374,0.052082
1375,0.051494
1376,0.00402356
1377,0.0039614
1378,0.0038545
1379,0.00416259
1380,0.00313771
1381,0.00207589
1382,0.00161645
1383,0.00165669
1384,0.0528023
1385,0.0540215
1386,0.00457158
1387,0.00404818
1388,0.00389954
1389,0.00222604
1390,0.00227949
1391,0.0016651
1392,0.00167501
1393,0.00164318
1394,0.00157891
1395,0.00154768
1396,0.00153868
1397,0.00161525
1398,0.00170053
1399,0.00151525
1400,0.00150775
1401,0.00164438
1402,0.00162516
1403,0.00163537
1404,0.00157591
1405,0.00161495
1406,0.00153027
1407,0.00176209
1408,0.00162366
1409,0.00159033
1410,0.00166119
1411,0.00168882
1412,0.00162276
1413,0.0016675
1414,0.00171464
1415,0.00164438
1416,0.00171885
1417,0.0524297
1418,0.00422025
1419,0.00217439
1420,0.052645
1421,0.00397041
1422,0.00395299
1423,0.00370165
1424,0.00352418
1425,0.00204736
1426,0.00181884
1427,0.00169603
1428,0.00169903
1429,0.00169032
1430,0.0017768
1431,0.00189902
1432,0.00171404
1433,0.00171825
1434,0.00163357
1435,0.0522531
1436,0.00392296
1437,0.00365481
1438,0.00303591
1439,0.00200052
1440,0.00205667
1441,0.00162005
1442,0.00162846
1443,0.00171975
1444,0.0539248
1445,0.00430763
1446,0.00381606
1447,0.00410103
1448,0.00236297
1449,0.001878
1450,0.00167681
1451,0.00169723
1452,0.00161915
1453,0.00162246
1454,0.0513853
1455,0.00175909
1456,0.00180143
1457,0.00163657
1458,0.00165339
1459,0.00159243
1460,0.00159753
1461,0.00162216
1462,0.00160354
1463,0.00168732
1464,0.00156961
1465,0.00157171
1466,0.00164318
1467,0.00161765
1468,0.00159783
1469,0.0016729
1470,0.00164948
1471,0.00163477
1472,0.00169513
1473,0.00161645
1474,0.0016654
1475,0.0528171
1476,0.00400524
1477,0.00359295
1478,0.00242993
1479,0.00240771
1480,0.0016729
1481,0.00162636
1482,0.0535101
1483,0.00398002
1484,0.00457279
1485,0.00286445
1486,0.00299627
1487,0.00160714
1488,0.0016702
1489,0.00182095
1490,0.00153597
1491,0.00152306
1492,0.00158402
1493,0.00174107
1494,0.00163357
1495,0.00150324
1496,0.00157291
1497,0.00158912
1498,0.00172786
1499,0.00170804
1500,0.0531537
1501,0.00391335
1502,0.00443525
1503,0.0530843
1504,0.00435838
1505,0.0541858
1506,0.00341097
1507,0.00304222
1508,0.00296534
1509,0.00223685
1510,0.00203805
1511,0.0515348
1512,0.00172485
1513,0.00369775
1514,0.00424757
1515,0.00214826
1516,0.00185518
1517,0.0016684
1518,0.00171344
1519,0.00160444
1520,0.00159453
1521,0.0016702
1522,0.00163146
1523,0.00169693
1524,0.00164017
1525,0.00160564
1526,0.00166209
1527,0.00159873
1528,0.0016711
1529,0.0527462
1530,0.00419292
1531,0.0038524
1532,0.00544632
1533,0.00394098
1534,0.00398662
1535,0.00247017
1536,0.00232273
1537,0.00168402
1538,0.00169212
1539,0.00174858
1540,0.00169783
1541,0.00633458
1542,0.00183326
1543,0.00173867
1544,0.00171645
1545,0.00173236
1546,0.00160954
1547,0.00182065
1548,0.00216508
1549,0.00165249
1550,0.00180083
1551,0.00162936
1552,0.00162636
1553,0.00171975
1554,0.00164077
1555,0.00160384
1556,0.00170594
1557,0.00163507
1558,0.00163177
1559,0.00219751
1560,0.0019837
1561,0.00185788
1562,0.00157171
1563,0.00159573
1564,0.00153687
1565,0.00191884
1566,0.00178731
1567,0.00166089
1568,0.00170053
1569,0.00170624
1570,0.00163447
1571,0.00174738
1572,0.00165969
1573,0.00171525
1574,0.00172065
1575,0.00162095
1576,0.0016702
1577,0.00174287
1578,0.00170804
1579,0.00155699
1580,0.00170203
1581,0.0520726
1582,0.00439291
1583,0.00349265
1584,0.00332209
1585,0.00217499
1586,0.00199301
1587,0.0523684
1588,0.00422625
1589,0.00382957
1590,0.00263112
1591,0.00232513
1592,0.00172155
1593,0.053799
1594,0.00400044
1595,0.00367252
1596,0.00254254
1597,0.00165459
1598,0.00172065
1599,0.00166239
1600,0.00171374
1601,0.00176329
1602,0.0520633
1603,0.00176629
1604,0.00164828
1605,0.00173446
1606,0.00183746
1607,0.00170353
1608,0.00172065
1609,0.00190142
1610,0.00165218
1611,0.00172065
1612,0.00171224
1613,0.00162636
1614,0.00174107
1615,0.00163477
1616,0.00159843
1617,0.00175969
1618,0.0534098
1619,0.0040674
1620,0.00300228
1621,0.00246026
1622,0.00163387
1623,0.00165188
1624,0.00167501
1625,0.00183506
1626,0.00186599
1627,0.00167711
1628,0.00163237
1629,0.0016678
1630,0.00175819
1631,0.00183326
1632,0.00174227
