Mean time,Standard deviation
0.0175299,0.0188251

Raw measurements

Timestamp,Measurement
1016,0.0127971
1017,0.0131473
1018,0.0132397
1019,0.0119867
1020,0.0120572
1021,0.0124267
1022,0.0119401
1023,0.0121723
1024,0.0121154
1025,0.0119828
1026,0.0125567
1027,0.0123622
1028,0.0086202
1029,0.00908634
1030,0.0617385
1031,0.0598987
1032,0.0610355
1033,0.00994506
1034,0.00996687
1035,0.0090765
1036,0.00915989
1037,0.008447
1038,0.0597067
1039,0.00952254
1040,0.0615384
1041,0.0099301
1042,0.00906367
1043,0.0111955
1044,0.00912525
1045,0.00872711
1046,0.0124289
1047,0.0127197
1048,0.0122912
1049,0.0117279
1050,0.0120051
1051,0.0123087
1052,0.0117365
1053,0.0117352
1054,0.0122031
1055,0.012789
1056,0.0634162
1057,0.0127047
1058,0.00901406
1059,0.0100888
1060,0.00978127
1061,0.00880109
1062,0.00868819
1063,0.00880537
1064,0.00866339
1065,0.00853937
1066,0.00874379
1067,0.00891827
1068,0.0594493
1069,0.00973466
1070,0.00905897
1071,0.00931641
1072,0.0100028
1073,0.00918299
1074,0.00886866
1075,0.00882675
1076,0.00850345
1077,0.0120012
1078,0.0118763
1079,0.0630741
1080,0.0134843
1081,0.0128091
1082,0.0134061
1083,0.012094
1084,0.0123942
1085,0.0126658
1086,0.0122108
1087,0.012434
1088,0.00887636
1089,0.00929204
1090,0.00844571
1091,0.00862062
1092,0.0087254
1093,0.00880751
1094,0.0609799
1095,0.0106614
1096,0.0106558
1097,0.00907778
1098,0.00864543
1099,0.00854065
1100,0.00922019
1101,0.00907821
1102,0.00908676
1103,0.0611501
1104,0.00960337
1105,0.00896061
1106,0.00959396
1107,0.00871471
1108,0.0119597
1109,0.0124635
1110,0.0118768
1111,0.0119024
1112,0.0643014
1113,0.0130896
1114,0.0128946
1115,0.0122488
1116,0.011893
1117,0.0118926
1118,0.00837087
1119,0.00863174
1120,0.00868648
1121,0.00849746
1122,0.0596905
1123,0.00922319
1124,0.0612189
1125,0.00929161
1126,0.0099549
1127,0.0087532
1128,0.0100922
1129,0.0087656
1130,0.00922148
1131,0.00887636
1132,0.0609598
1133,0.00974706
1134,0.00942889
1135,0.00887508
1136,0.00867964
1137,0.00890287
1138,0.0128565
1139,0.0641937
1140,0.0650468
1141,0.0134873
1142,0.0129835
1143,0.0120008
1144,0.0124088
1145,0.0120111
1146,0.065306
1147,0.0123699
1148,0.00848377
1149,0.00857102
1150,0.00887165
1151,0.00856973
1152,0.00863901
1153,0.00862533
1154,0.00860779
1155,0.00877757
1156,0.00889903
1157,0.0087626
1158,0.0597362
1159,0.0100379
1160,0.00938013
1161,0.00860779
1162,0.00858385
1163,0.0598423
1164,0.0102923
1165,0.00977913
1166,0.0639123
1167,0.0658889
1168,0.0134976
1169,0.0131627
1170,0.0123831
1171,0.063849
1172,0.012162
1173,0.0125948
1174,0.012325
1175,0.0122595
1176,0.0118584
1177,0.0121928
1178,0.00851841
1179,0.00863516
1180,0.00846282
1181,0.00867451
1182,0.00853809
1183,0.00865655
1184,0.00860437
1185,0.00832084
1186,0.00883958
1187,0.00853253
1188,0.00848976
1189,0.00845897
1190,0.00871257
1191,0.0593715
1192,0.0094755
1193,0.00964827
1194,0.00979923
1195,0.0093951
1196,0.0085522
1197,0.0122488
1198,0.012091
1199,0.012082
1200,0.0643352
1201,0.0143157
1202,0.0131927
1203,0.0643981
1204,0.0135249
1205,0.012679
1206,0.0124588
1207,0.011896
1208,0.0080202
1209,0.0086852
1210,0.00923815
1211,0.0612146
1212,0.00887165
1213,0.00989246
1214,0.00859496
1215,0.00869119
1216,0.00896446
1217,0.00865526
1218,0.00909917
1219,0.00889988
1220,0.00931599
1221,0.00875662
1222,0.0596871
1223,0.0608524
1224,0.00922447
1225,0.00975818
1226,0.0131944
1227,0.0120491
1228,0.011713
1229,0.012316
1230,0.0639097
1231,0.0124135
1232,0.0131311
1233,0.0128411
1234,0.0131927
1235,0.0627713
1236,0.012842
1237,0.0125884
1238,0.00892853
1239,0.00885626
1240,0.00844229
1241,0.00837258
1242,0.00826781
1243,0.00846539
1244,0.00862191
1245,0.0115107
1246,0.00868092
1247,0.00830245
1248,0.00843374
1249,0.0085274
1250,0.00871385
1251,0.0611697
1252,0.00960508
1253,0.00889218
1254,0.00885883
1255,0.00912525
1256,0.0123049
1257,0.0636766
1258,0.0131268
1259,0.00997372
1260,0.00890373
1261,0.0130306
1262,0.0119875
1263,0.0122155
1264,0.0635086
1265,0.0129485
1266,0.0135758
1267,0.0137884
1268,0.00871428
1269,0.008311
1270,0.00847052
1271,0.00887893
1272,0.0596717
1273,0.00823402
1274,0.00837814
1275,0.00849104
1276,0.00850216
1277,0.00883274
1278,0.0610461
1279,0.0620973
1280,0.0103
1281,0.00871471
1282,0.00898028
1283,0.00806852
1284,0.0083589
1285,0.00892853
1286,0.0602969
1287,0.00968548
1288,0.0131182
1289,0.0122206
1290,0.0125516
1291,0.012041
1292,0.0120679
1293,0.0119157
1294,0.0124793
1295,0.0123326
1296,0.0119127
1297,0.0119358
1298,0.00835804
1299,0.060314
1300,0.0615649
1301,0.00926638
1302,0.00965811
1303,0.00846025
1304,0.00828492
1305,0.00840209
1306,0.00838798
1307,0.00878399
1308,0.00872497
1309,0.00886866
1310,0.0612001
1311,0.00901107
1312,0.0090564
1313,0.00822248
1314,0.00851499
1315,0.00849147
1316,0.00869717
1317,0.0120979
1318,0.0125572
1319,0.0120714
1320,0.0116488
1321,0.0122749
1322,0.0638652
1323,0.0128903
1324,0.0133765
1325,0.0135061
1326,0.0120855
1327,0.0116274
1328,0.00842861
1329,0.0612587
1330,0.00929803
1331,0.0614913
1332,0.00994207
1333,0.00940708
1334,0.00907607
1335,0.00867921
1336,0.00860223
1337,0.00817843
1338,0.00822847
1339,0.00841193
1340,0.00890416
1341,0.00839782
1342,0.0080681
1343,0.0089358
1344,0.00868948
1345,0.00887379
1346,0.0635924
1347,0.0130537
1348,0.013838
1349,0.0128317
1350,0.0646637
1351,0.0645999
1352,0.0135852
1353,0.013498
1354,0.0654249
1355,0.0130789
1356,0.0135339
1357,0.0123446
1358,0.00870273
1359,0.00892982
1360,0.0604192
1361,0.00991213
1362,0.00951228
1363,0.0086775
1364,0.00850644
1365,0.00860309
1366,0.00861036
1367,0.00908976
1368,0.00873481
1369,0.00911413
1370,0.0598273
1371,0.00864072
1372,0.00858513
1373,0.0088755
1374,0.00861806
1375,0.00861293
1376,0.0122711
1377,0.0637096
1378,0.0130862
1379,0.0134236
1380,0.0130165
1381,0.0115753
1382,0.0116407
1383,0.0123331
1384,0.0124259
1385,0.0122895
1386,0.0119088
1387,0.0130994
1388,0.00882889
1389,0.00904528
1390,0.059856
1391,0.0096333
1392,0.0096842
1393,0.00875876
1394,0.00931641
1395,0.00827422
1396,0.00830117
1397,0.0610051
1398,0.00956018
1399,0.00937757
1400,0.00919154
1401,0.00869119
1402,0.00858213
1403,0.0601258
1404,0.00933138
1405,0.00952468
1406,0.0124143
1407,0.013217
1408,0.0124751
1409,0.0135489
1410,0.012774
1411,0.0129613
1412,0.0122578
1413,0.0123878
1414,0.0122916
1415,0.0122018
1416,0.01239
1417,0.012419
1418,0.00892084
1419,0.00902946
1420,0.00879682
1421,0.00898584
1422,0.00889432
1423,0.00901492
1424,0.00829732
1425,0.00834222
1426,0.00857401
1427,0.00871727
1428,0.0087378
1429,0.00880708
1430,0.00890886
1431,0.00872967
1432,0.00873866
1433,0.00880836
1434,0.00865227
1435,0.00821008
1436,0.00899311
1437,0.00865484
1438,0.0125914
1439,0.0118438
1440,0.0121932
1441,0.0124806
1442,0.0117959
1443,0.0116702
1444,0.0125409
1445,0.0130639
1446,0.0127051
1447,0.0123049
